ilall;Kabul;few clouds;Sale;
flat1;Kabul;few clouds;Sale;
hotel2;Mariehamn;few clouds;Sale;
hotel4;Mariehamn;few clouds;Both;
hotel3;Mariehamn;few clouds;Sale;
hotel3;Tirana;clear sky;Rental;
hotel1;Tirana;clear sky;Rental;
villa0;Tirana;clear sky;Both;
hotel0;Algiers;scattered clouds;Both;
hotel8;Algiers;scattered clouds;Rental;
flat1;Luanda;clear sky;Sale;
villa2;The Valley;scattered clouds;Rental;
villa1;Saint John's;NOT_FOUND;Sale;
flat7;Saint John's;NOT_FOUND;Both;
hotel0;Buenos Aires;scattered clouds;Both;
villa3;Oranjestad;scattered clouds;Rental;
flat8;Vienna;light intensity shower rain;Both;
hotel4;Vienna;light intensity shower rain;Rental;
flat5;Baku;clear sky;Rental;
villa3;Nassau;broken clouds;Rental;
villa4;Dhaka;light rain;Sale;
flat7;Dhaka;light rain;Both;
flat6;Bridgetown;fog;Rental;
flat7;Brussels;clear sky;Sale;
hotel3;Belmopan;light rain;Rental;
flat3;Belmopan;light rain;Both;
hotel5;Porto-Novo;scattered clouds;Both;
villa7;Porto-Novo;scattered clouds;Sale;
flat2;Thimphu;light rain;Rental;
villa3;Sucre;clear sky;Both;
flat2;Sucre;clear sky;Rental;
hotel2;Sucre;clear sky;Both;
hotel4;Sarajevo;scattered clouds;Both;
flat3;Sarajevo;scattered clouds;Both;
flat3;Sarajevo;scattered clouds;Both;
villa4;Gaborone;clear sky;Sale;
flat7;Bras?lia;NOT_FOUND;Sale;
villa6;Diego Garcia;NOT_FOUND;Sale;
villa2;Diego Garcia;NOT_FOUND;Both;
villa1;Road Town;scattered clouds;Rental;
flat7;Road Town;scattered clouds;Sale;
flat8;Bandar Seri Begawan;broken clouds;Rental;
hotel6;Bandar Seri Begawan;broken clouds;Sale;
villa8;Ouagadougou;few clouds;Rental;
villa1;Phnom Penh;broken clouds;Sale;
hotel1;Yaound?;NOT_FOUND;Both;
villa3;Ottawa;few clouds;Rental;
flat1;Praia;clear sky;Rental;
flat1;Praia;clear sky;Both;
villa3;George Town;broken clouds;Sale;
hotel8;Bangui;broken clouds;Both;
hotel1;Santiago;light intensity shower rain;Rental;
villa3;Beijing;clear sky;Rental;
villa7;Flying Fish Cove;broken clouds;Both;
villa5;Bogot?;NOT_FOUND;Sale;
flat1;Bogot?;NOT_FOUND;Both;
flat8;Brazzaville;haze;Both;
flat5;Brazzaville;haze;Rental;
hotel3;San Jos?;NOT_FOUND;Sale;
hotel7;Willemstad;scattered clouds;Rental;
hotel0;Nicosia;NOT_FOUND;Sale;
villa6;Nicosia;NOT_FOUND;Sale;
villa6;Prague;few clouds;Sale;
villa8;Roseau;clear sky;Sale;
flat1;Roseau;clear sky;Both;
villa0;Roseau;clear sky;Sale;
flat4;Santo Domingo;few clouds;Both;
flat5;Santo Domingo;few clouds;Rental;
hotel5;Quito;clear sky;Sale;
villa0;Quito;clear sky;Sale;
hotel6;Cairo;clear sky;Sale;
villa0;Cairo;clear sky;Sale;
villa1;San Salvador;clear sky;Rental;
villa4;San Salvador;clear sky;Sale;
villa0;Malabo;clear sky;Both;
villa2;Malabo;clear sky;Rental;
hotel5;Malabo;clear sky;Both;
flat5;Tallinn;light intensity shower rain;Sale;
villa2;Tallinn;light intensity shower rain;Rental;
villa6;Addis Ababa;light rain;Rental;
flat6;Stanley;clear sky;Rental;
villa3;Stanley;clear sky;Sale;
flat6;T?rshavn;NOT_FOUND;Sale;
flat1;Suva;broken clouds;Both;
villa4;Suva;broken clouds;Both;
villa2;Suva;broken clouds;Sale;
villa4;Helsinki;shower rain;Both;
villa4;Port-aux-Fran?ais;NOT_FOUND;Both;
flat1;Banjul;broken clouds;Sale;
flat8;Tbilisi;clear sky;Rental;
flat6;Gibraltar;few clouds;Sale;
villa8;Gibraltar;few clouds;Both;
hotel5;Athens;scattered clouds;Both;
flat1;Athens;scattered clouds;Rental;
villa3;Nuuk;overcast clouds;Sale;
hotel5;Basse-Terre;broken clouds;Both;
flat4;Hag?t?a;NOT_FOUND;Sale;
hotel2;St. Peter Port;NOT_FOUND;Rental;
flat1;Conakry;scattered clouds;Sale;
villa7;Georgetown;scattered clouds;Both;
hotel7;Port-au-Prince;few clouds;Sale;
hotel5;Port-au-Prince;few clouds;Both;
hotel6;Budapest;clear sky;Both;
villa1;Reykjav?k;NOT_FOUND;Both;
flat1;Reykjav?k;NOT_FOUND;Rental;
flat5;New Delhi;haze;Sale;
villa3;New Delhi;haze;Both;
villa4;Jakarta;haze;Sale;
hotel8;Jakarta;haze;Sale;
flat2;Dublin;broken clouds;Rental;
flat1;Jerusalem;few clouds;Rental;
villa4;Kingston;few clouds;Both;
flat2;Kingston;few clouds;Rental;
villa6;Tokyo;mist;Sale;
flat3;Saint Helier;fog;Rental;
villa0;Bishkek;clear sky;Sale;
villa8;Vientiane;broken clouds;Rental;
villa7;Beirut;clear sky;Rental;
hotel5;Maseru;clear sky;Rental;
flat0;Maseru;clear sky;Sale;
villa2;Tripoli;clear sky;Sale;
hotel5;Tripoli;clear sky;Both;
hotel0;Antananarivo;scattered clouds;Both;
villa0;Antananarivo;scattered clouds;Sale;
villa4;Kuala Lumpur;broken clouds;Sale;
hotel5;Bamako;broken clouds;Sale;
villa1;Valletta;clear sky;Sale;
villa6;Majuro;broken clouds;Both;
hotel6;Fort-de-France;light rain;Sale;
flat6;Nouakchott;clear sky;Sale;
hotel2;Nouakchott;clear sky;Sale;
hotel6;Mexico City;broken clouds;Rental;
hotel3;Mexico City;broken clouds;Sale;
villa2;Monaco;few clouds;Sale;
hotel3;Ulan Bator;NOT_FOUND;Sale;
flat5;Ulan Bator;NOT_FOUND;Rental;
flat2;Rabat;few clouds;Both;
hotel2;Maputo;scattered clouds;Sale;
flat6;Maputo;scattered clouds;Sale;
villa8;Yaren;clear sky;Sale;
villa6;Amsterdam;few clouds;Sale;
flat0;Amsterdam;few clouds;Rental;
flat4;Noum?a;NOT_FOUND;Both;
flat7;Managua;scattered clouds;Both;
villa4;Managua;scattered clouds;Rental;
hotel8;Managua;scattered clouds;Sale;
villa8;Niamey;few clouds;Both;
hotel2;Abuja;few clouds;Sale;
villa1;Alofi;light rain;Both;
flat6;Kingston;few clouds;Sale;
villa4;Pyongyang;broken clouds;Both;
villa3;Oslo;clear sky;Sale;
flat7;Muscat;dust;Rental;
flat3;Muscat;dust;Rental;
villa3;Ngerulmud;NOT_FOUND;Both;
hotel5;Panama City;clear sky;Both;
villa5;Port Moresby;few clouds;Sale;
villa5;Asunci?n;NOT_FOUND;Sale;
hotel1;Lima;few clouds;Sale;
hotel8;Lima;few clouds;Rental;
hotel8;Manila;broken clouds;Rental;
villa2;Manila;broken clouds;Rental;
villa5;Warsaw;clear sky;Rental;
villa3;Lisbon;few clouds;Rental;
flat4;Doha;haze;Both;
flat2;Saint-Denis;clear sky;Both;
villa4;Saint-Denis;clear sky;Both;
villa5;Bucharest;clear sky;Both;
flat6;Bucharest;clear sky;Both;
flat6;Moscow;clear sky;Both;
villa5;Kigali;scattered clouds;Sale;
hotel1;Gustavia;scattered clouds;Sale;
hotel8;Gustavia;scattered clouds;Both;
flat6;Jamestown;broken clouds;Both;
flat1;Basseterre;shower rain;Rental;
hotel7;Basseterre;shower rain;Both;
hotel4;Marigot;few clouds;Rental;
hotel5;Marigot;few clouds;Rental;
villa3;Marigot;few clouds;Both;
villa8;Saint-Pierre;scattered clouds;Both;
flat3;Apia;few clouds;Sale;
villa8;Apia;few clouds;Rental;
flat0;City of San Marino;thunderstorm;Both;
hotel7;S?o Tom?;NOT_FOUND;Sale;
flat4;Riyadh;clear sky;Both;
flat4;Riyadh;clear sky;Sale;
flat0;Dakar;broken clouds;Rental;
flat1;Dakar;broken clouds;Both;
hotel6;Dakar;broken clouds;Sale;
hotel1;Victoria;broken clouds;Rental;
villa0;Freetown;few clouds;Both;
hotel1;Singapore;broken clouds;Rental;
flat6;Singapore;broken clouds;Both;
hotel1;Philipsburg;clear sky;Sale;
hotel6;Bratislava;few clouds;Sale;
villa8;Bratislava;few clouds;Rental;
flat6;Ljubljana;broken clouds;Sale;
villa5;Honiara;haze;Both;
hotel1;Honiara;haze;Sale;
flat2;Mogadishu;broken clouds;Sale;
hotel5;Mogadishu;broken clouds;Both;
villa6;Pretoria;scattered clouds;Both;
hotel0;King Edward Point;NOT_FOUND;Sale;
villa5;Seoul;light intensity shower rain;Sale;
villa8;Seoul;light intensity shower rain;Both;
villa4;Juba;overcast clouds;Both;
villa3;Madrid;few clouds;Sale;
hotel4;Colombo;scattered clouds;Sale;
flat0;Paramaribo;scattered clouds;Sale;
villa2;Longyearbyen;broken clouds;Rental;
flat5;Lobamba;few clouds;Sale;
villa0;Taipei;scattered clouds;Rental;
flat3;Taipei;scattered clouds;Sale;
villa4;Dushanbe;clear sky;Rental;
hotel4;Dushanbe;clear sky;Rental;
flat8;Dodoma;clear sky;Sale;
villa7;Bangkok;scattered clouds;Both;
flat7;Lom?;NOT_FOUND;Rental;
villa2;Lom?;NOT_FOUND;Sale;
villa2;Fakaofo;NOT_FOUND;Rental;
hotel2;Port of Spain;shower rain;Both;
flat5;Ankara;few clouds;Sale;
villa8;Ankara;few clouds;Sale;
villa5;Cockburn Town;broken clouds;Rental;
hotel7;Cockburn Town;broken clouds;Both;
hotel8;Funafuti;few clouds;Both;
hotel7;Kiev;clear sky;Both;
villa6;Kiev;clear sky;Sale;
villa2;Kiev;clear sky;Both;
flat6;Abu Dhabi;dust;Both;
hotel6;Washington, D.C.;overcast clouds;Rental;
flat3;Washington, D.C.;overcast clouds;Both;
hotel8;Washington, D.C.;overcast clouds;Both;
hotel7;Montevideo;overcast clouds;Sale;
flat5;Montevideo;overcast clouds;Sale;
flat5;Tashkent;clear sky;Rental;
hotel3;Port Vila;NOT_FOUND;Rental;
hotel3;Port Vila;NOT_FOUND;Rental;
villa0;Caracas;clear sky;Rental;
flat0;Caracas;clear sky;Both;
villa0;Hanoi;clear sky;Sale;
hotel2;Hanoi;clear sky;Rental;
hotel8;Lusaka;clear sky;Sale;
