ilall;Kabul;few clouds;Sale;255;Good Investment;
flat1;Kabul;few clouds;Sale;11;Good Investment;
hotel2;Mariehamn;few clouds;Sale;521;Good Investment;
hotel4;Mariehamn;few clouds;Both;993;Good Investment;
hotel3;Mariehamn;few clouds;Sale;716;Good Investment;
hotel3;Tirana;clear sky;Rental;577;
hotel1;Tirana;clear sky;Rental;915;
villa0;Tirana;clear sky;Both;552;Good Investment;
hotel0;Algiers;scattered clouds;Both;385;Good Investment;
hotel8;Algiers;scattered clouds;Rental;756;
flat1;Luanda;clear sky;Sale;463;Good Investment;
villa2;The Valley;scattered clouds;Rental;605;
villa1;Saint John's;NOT_FOUND;Sale;637;Good Investment;
flat7;Saint John's;NOT_FOUND;Both;909;Good Investment;
hotel0;Buenos Aires;scattered clouds;Both;354;Good Investment;
villa3;Oranjestad;scattered clouds;Rental;566;
flat8;Vienna;light intensity shower rain;Both;700;Good Investment;
hotel4;Vienna;light intensity shower rain;Rental;75;
flat5;Baku;clear sky;Rental;649;
villa3;Nassau;broken clouds;Rental;801;
villa4;Dhaka;light rain;Sale;941;Good Investment;
flat7;Dhaka;light rain;Both;145;Good Investment;
flat6;Bridgetown;fog;Rental;383;
flat7;Brussels;clear sky;Sale;446;Good Investment;
hotel3;Belmopan;light rain;Rental;400;
flat3;Belmopan;light rain;Both;794;Good Investment;
hotel5;Porto-Novo;scattered clouds;Both;955;Good Investment;
villa7;Porto-Novo;scattered clouds;Sale;407;Good Investment;
flat2;Thimphu;light rain;Rental;716;
villa3;Sucre;clear sky;Both;700;Good Investment;
flat2;Sucre;clear sky;Rental;372;
hotel2;Sucre;clear sky;Both;633;Good Investment;
hotel4;Sarajevo;scattered clouds;Both;517;Good Investment;
flat3;Sarajevo;scattered clouds;Both;74;Good Investment;
flat3;Sarajevo;scattered clouds;Both;844;Good Investment;
villa4;Gaborone;clear sky;Sale;105;Good Investment;
flat7;Bras?lia;NOT_FOUND;Sale;468;Good Investment;
villa6;Diego Garcia;NOT_FOUND;Sale;687;Good Investment;
villa2;Diego Garcia;NOT_FOUND;Both;408;Good Investment;
villa1;Road Town;scattered clouds;Rental;457;
flat7;Road Town;scattered clouds;Sale;597;Good Investment;
flat8;Bandar Seri Begawan;broken clouds;Rental;401;
hotel6;Bandar Seri Begawan;broken clouds;Sale;994;Good Investment;
villa8;Ouagadougou;few clouds;Rental;602;
villa1;Phnom Penh;broken clouds;Sale;642;Good Investment;
hotel1;Yaound?;NOT_FOUND;Both;569;Good Investment;
villa3;Ottawa;few clouds;Rental;116;
flat1;Praia;clear sky;Rental;748;
flat1;Praia;clear sky;Both;24;Good Investment;
villa3;George Town;broken clouds;Sale;765;Good Investment;
hotel8;Bangui;broken clouds;Both;403;Good Investment;
hotel1;Santiago;light intensity shower rain;Rental;340;
villa3;Beijing;clear sky;Rental;404;
villa7;Flying Fish Cove;broken clouds;Both;974;Good Investment;
villa5;Bogot?;NOT_FOUND;Sale;917;Good Investment;
flat1;Bogot?;NOT_FOUND;Both;599;Good Investment;
flat8;Brazzaville;haze;Both;304;Good Investment;
flat5;Brazzaville;haze;Rental;474;
hotel3;San Jos?;NOT_FOUND;Sale;547;Good Investment;
hotel7;Willemstad;scattered clouds;Rental;982;
hotel0;Nicosia;NOT_FOUND;Sale;841;Good Investment;
villa6;Nicosia;NOT_FOUND;Sale;369;Good Investment;
villa6;Prague;few clouds;Sale;885;Good Investment;
villa8;Roseau;clear sky;Sale;357;Good Investment;
flat1;Roseau;clear sky;Both;145;Good Investment;
villa0;Roseau;clear sky;Sale;206;Good Investment;
flat4;Santo Domingo;few clouds;Both;892;Good Investment;
flat5;Santo Domingo;few clouds;Rental;226;
hotel5;Quito;clear sky;Sale;789;Good Investment;
villa0;Quito;clear sky;Sale;817;Good Investment;
hotel6;Cairo;clear sky;Sale;128;Good Investment;
villa0;Cairo;clear sky;Sale;210;Good Investment;
villa1;San Salvador;clear sky;Rental;499;
villa4;San Salvador;clear sky;Sale;136;Good Investment;
villa0;Malabo;clear sky;Both;399;Good Investment;
villa2;Malabo;clear sky;Rental;583;
hotel5;Malabo;clear sky;Both;797;Good Investment;
flat5;Tallinn;light intensity shower rain;Sale;688;Good Investment;
villa2;Tallinn;light intensity shower rain;Rental;891;
villa6;Addis Ababa;light rain;Rental;455;
flat6;Stanley;clear sky;Rental;38;
villa3;Stanley;clear sky;Sale;99;Good Investment;
flat6;T?rshavn;NOT_FOUND;Sale;699;Good Investment;
flat1;Suva;broken clouds;Both;143;Good Investment;
villa4;Suva;broken clouds;Both;563;Good Investment;
villa2;Suva;broken clouds;Sale;926;Good Investment;
villa4;Helsinki;shower rain;Both;880;Good Investment;
villa4;Port-aux-Fran?ais;NOT_FOUND;Both;412;Good Investment;
flat1;Banjul;broken clouds;Sale;409;Good Investment;
flat8;Tbilisi;clear sky;Rental;973;
flat6;Gibraltar;few clouds;Sale;62;Good Investment;
villa8;Gibraltar;few clouds;Both;923;Good Investment;
hotel5;Athens;scattered clouds;Both;549;Good Investment;
flat1;Athens;scattered clouds;Rental;133;
villa3;Nuuk;overcast clouds;Sale;815;Good Investment;
hotel5;Basse-Terre;broken clouds;Both;553;Good Investment;
flat4;Hag?t?a;NOT_FOUND;Sale;57;Good Investment;
hotel2;St. Peter Port;NOT_FOUND;Rental;227;
flat1;Conakry;scattered clouds;Sale;178;Good Investment;
villa7;Georgetown;scattered clouds;Both;334;Good Investment;
hotel7;Port-au-Prince;few clouds;Sale;311;Good Investment;
hotel5;Port-au-Prince;few clouds;Both;913;Good Investment;
hotel6;Budapest;clear sky;Both;699;Good Investment;
villa1;Reykjav?k;NOT_FOUND;Both;830;Good Investment;
flat1;Reykjav?k;NOT_FOUND;Rental;138;
flat5;New Delhi;haze;Sale;568;Good Investment;
villa3;New Delhi;haze;Both;880;Good Investment;
villa4;Jakarta;haze;Sale;557;Good Investment;
hotel8;Jakarta;haze;Sale;658;Good Investment;
flat2;Dublin;broken clouds;Rental;634;
flat1;Jerusalem;few clouds;Rental;58;
villa4;Kingston;few clouds;Both;660;Good Investment;
flat2;Kingston;few clouds;Rental;439;
villa6;Tokyo;light intensity shower rain;Sale;982;Good Investment;
flat3;Saint Helier;fog;Rental;151;
villa0;Bishkek;clear sky;Sale;774;Good Investment;
villa8;Vientiane;broken clouds;Rental;272;
villa7;Beirut;clear sky;Rental;83;
hotel5;Maseru;clear sky;Rental;123;
flat0;Maseru;clear sky;Sale;543;Good Investment;
villa2;Tripoli;clear sky;Sale;5;Good Investment;
hotel5;Tripoli;clear sky;Both;805;Good Investment;
hotel0;Antananarivo;scattered clouds;Both;255;Good Investment;
villa0;Antananarivo;scattered clouds;Sale;154;Good Investment;
villa4;Kuala Lumpur;broken clouds;Sale;779;Good Investment;
hotel5;Bamako;broken clouds;Sale;396;Good Investment;
villa1;Valletta;clear sky;Sale;736;Good Investment;
villa6;Majuro;broken clouds;Both;17;Good Investment;
hotel6;Fort-de-France;light rain;Sale;903;Good Investment;
flat6;Nouakchott;clear sky;Sale;120;Good Investment;
hotel2;Nouakchott;clear sky;Sale;768;Good Investment;
hotel6;Mexico City;broken clouds;Rental;545;
hotel3;Mexico City;broken clouds;Sale;559;Good Investment;
villa2;Monaco;few clouds;Sale;289;Good Investment;
hotel3;Ulan Bator;NOT_FOUND;Sale;259;Good Investment;
flat5;Ulan Bator;NOT_FOUND;Rental;879;
flat2;Rabat;few clouds;Both;848;Good Investment;
hotel2;Maputo;scattered clouds;Sale;506;Good Investment;
flat6;Maputo;scattered clouds;Sale;901;Good Investment;
villa8;Yaren;clear sky;Sale;517;Good Investment;
villa6;Amsterdam;few clouds;Sale;307;Good Investment;
flat0;Amsterdam;few clouds;Rental;558;
flat4;Noum?a;NOT_FOUND;Both;272;Good Investment;
flat7;Managua;scattered clouds;Both;315;Good Investment;
villa4;Managua;scattered clouds;Rental;485;
hotel8;Managua;scattered clouds;Sale;783;Good Investment;
villa8;Niamey;few clouds;Both;866;Good Investment;
hotel2;Abuja;few clouds;Sale;675;Good Investment;
villa1;Alofi;light rain;Both;926;Good Investment;
flat6;Kingston;few clouds;Sale;155;Good Investment;
villa4;Pyongyang;broken clouds;Both;877;Good Investment;
villa3;Oslo;clear sky;Sale;742;Good Investment;
flat7;Muscat;dust;Rental;960;
flat3;Muscat;dust;Rental;416;
villa3;Ngerulmud;NOT_FOUND;Both;248;Good Investment;
hotel5;Panama City;clear sky;Both;819;Good Investment;
villa5;Port Moresby;few clouds;Sale;783;Good Investment;
villa5;Asunci?n;NOT_FOUND;Sale;677;Good Investment;
hotel1;Lima;few clouds;Sale;983;Good Investment;
hotel8;Lima;few clouds;Rental;42;
hotel8;Manila;broken clouds;Rental;138;
villa2;Manila;broken clouds;Rental;481;
villa5;Warsaw;clear sky;Rental;685;
villa3;Lisbon;few clouds;Rental;675;
flat4;Doha;haze;Both;603;Good Investment;
flat2;Saint-Denis;clear sky;Both;682;Good Investment;
villa4;Saint-Denis;clear sky;Both;944;Good Investment;
villa5;Bucharest;clear sky;Both;889;Good Investment;
